tweetId,isRetweet,time,text,replies,retweets,likes,entries
1203122930466443264,False,2019-12-07 09:23:54,"Thank you, @viendetta, for leading #TeamTom at #COP25! Proud of our climate team for representing the campaign and our plans for an equitable green economy, and a foreign policy that starts with world leadership on climate https://twitter.com/viendetta/status/1203022141136015360 …",26,21,78,"{'hashtags': ['#TeamTom', '#COP25', '#climatestrike', '#madrid', '#cop25'], 'urls': [], 'photos': [], 'videos': []}"
1203084128113086470,True,2019-12-07 06:49:43,"Whether it’s farmers energized by Tom’s message about partnering with rural america or young people excited by a candidate who is prioritizing protecting their future first and foremost, Iowans are ready to get @TomSteyer to the White House! #iacaucu https://qctimes.com/news/local/this-race-is-wide-open-qualifying-for-next-dnc-debate/article_6a82fa79-59f7-50db-b3fa-0e09adae5280.html …",10,20,66,"{'hashtags': ['#iacaucus'], 'urls': [], 'photos': [], 'videos': []}"
1203022173901864973,True,2019-12-07 02:43:31,"There is no planet B. We need action NOW. Need to have emergency action to make transformative change!  These young people are showing up, we must too! #ClimateChange #climatestrike @TomSteyer @TomH pic.twitter.com/Ui8LmKdOSc",4,18,55,"{'hashtags': ['#ClimateChange', '#climatestrike'], 'urls': [], 'photos': ['https://pbs.twimg.com/media/ELH-RjEWkAARM_s.jpg'], 'videos': []}"
1203069268188913666,True,2019-12-07 05:50:40,"This should be unanimous, not partisan. Impeachment in the House is not a conviction. The trial happens in the Senate. All the House does is charge impeachable conduct. All we need is probable cause. That threshold is easily met with the existing evidence https://twitter.com/CNN/status/1203065355696058369 …",1651,11234,43221,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202871267386376192,True,2019-12-06 16:43:53,"I successfully managed to sneak into Madrid this morning! I don’t think anyone saw me...
Anyway it’s great to be in Spain https://twitter.com/quicktake/status/1202859979310419968 …",3189,15916,188843,"{'hashtags': ['#COP25'], 'urls': [], 'photos': [], 'videos': []}"
1203034343284723712,True,2019-12-07 03:31:53,.@TomSteyer campaign adding more offices in Iowa! #SteyerSurg https://globegazette.com/news/steyer-adds-campaign-offices-in-iowa/article_bf4a38e3-5dbf-52f8-b460-452cf2fd34f5.html …,11,12,34,"{'hashtags': ['#SteyerSurge'], 'urls': [], 'photos': [], 'videos': []}"
1203025199475679233,True,2019-12-07 02:55:33,What do we want? CLIMATE JUSTICE! When do we want it? NOW!!! Time to declare a climate emergency & use the emergency powers to save our people & planet. @TomHQ @TomSteyer #climatestrike #COP25 #Madrid @AaronTBurgess @icait pic.twitter.com/SNMJ2yZEmv,7,18,68,"{'hashtags': ['#climatestrike', '#COP25', '#Madrid'], 'urls': [], 'photos': [], 'videos': [{'id': '9BKlWoLprRXCukd2'}]}"
1203025168408252417,False,2019-12-07 02:55:25,"Despicable. If we do not change our course, we will be remembered as a nation who denied compassion and basic human rights to people in their greatest time of need https://twitter.com/propublica/status/1202664171789324288 …",55,184,624,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1203011305269026817,False,2019-12-07 02:00:20,"“Our democracy is what is at stake. The president leaves us no choice but to act, because he is trying to corrupt, once again, the election for his own benefit. https://wapo.st/368j8SN ",38,68,245,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202995425008971776,False,2019-12-07 00:57:14,"Right now, young people across the world are taking the lead on the climate crisis by walking outside and saying, “No more.” I am so inspired by their courage. Let's protect their future by standing with them. Get involved: https://actionnetwork.org/event_campaigns/winter-climatestrike … #FridaysForFuture #ClimateStrike",13,39,111,"{'hashtags': ['#FridaysForFuture', '#ClimateStrike'], 'urls': ['https://actionnetwork.org/event_campaigns/winter-climatestrike'], 'photos': [], 'videos': []}"
1202970894085349377,True,2019-12-06 23:19:45,"Some people say that we should study to become climate scientists so that we can “solve the climate crisis” But the #climatecrisis has already been solved. We already have all the facts and solutions. All we need to do is to wake up and change.

#COP25 #COP25Madrid @GretaThunber pic.twitter.com/8X1H8kMgdk",141,1751,4072,"{'hashtags': ['#climatecrisis', '#COP25', '#COP25Madrid'], 'urls': [], 'photos': [], 'videos': [{'id': '1S18R-XOXJ8_geEs'}]}"
1202768090288672770,False,2019-12-06 09:53:53,"Today, @SpeakerPelosi asked the House Judiciary Committee to draft articles of impeachment against @realDonaldTrump. To Senate Republicans: the vote you cast on this will determine whether you stand up for the American people or for the @GOP. Choose wisely pic.twitter.com/M1Jurey74T",125,277,1014,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'Jxairu-KE9Rf2A_C'}]}"
1202766639738998784,False,2019-12-06 09:48:07,This is appalling. We need to regulate tech giants like @Uber to ensure they put safety first—and we need to do more to address the horrific reality of rampant sexual assault happening every day across our country https://twitter.com/faizsays/status/1202732656091230209 …,33,54,177,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202745622790463488,False,2019-12-06 08:24:37,"This campaign is about more than just one person — it’s about building a national movement that returns power to the American people. Today on #InternationalVolunteerDay, I want to thank you for being a part of this movement. Just look at all we are accomplishing together pic.twitter.com/8nLDaMlVA1",21,24,79,"{'hashtags': ['#InternationalVolunteerDay'], 'urls': [], 'photos': ['https://pbs.twimg.com/media/ELECw4HVUAAQw-z.jpg'], 'videos': []}"
1202727922814963712,True,2019-12-06 07:14:17,ICYMI: @TomSteyer on @MSNBC this am: I call on the @TheDemocrats  to open up the debates and make sure Democratic voters hear every point of view pic.twitter.com/VjAWtRIoWn,42,73,242,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'Xr6v2db1Z8p37H3j'}]}"
1202720809468538880,False,2019-12-06 06:46:01,"That's right, we're working hard to reach college campuses, public housing projects, rural communities, and everywhere in-between so that all Americans are heard, @MattBevin https://bit.ly/34TwMsZ ",11,25,85,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202678577633714176,True,2019-12-06 03:58:12,".@TomSteyer: “In order to defeat Donald Trump, Democrats need to engage voters from every part of the country, and that means making sure voters hear from a diverse group of candidates before they select our nominee.” https://politi.co/38cyjw4  via @politico",8,20,55,"{'hashtags': [], 'urls': ['https://politi.co/38cyjw4'], 'photos': [], 'videos': []}"
1202678450848329728,False,2019-12-06 03:57:42,"If we want to rebuild American's manufacturing capability and create jobs, clean energy is the way to do it. Well done, @GM https://www.nytimes.com/2019/12/05/business/gm-lg-battery.html …",13,25,63,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202652707363807233,False,2019-12-06 02:15:24,".@realDonaldTrump has abdicated his duty to the Constitution and the American people. We are well past any question of criteria for impeachment. He is unfit, dangerous, and must leave. Thank you, @SpeakerPelosi, for doing what must be done https://www.nytimes.com/2019/12/05/us/politics/pelosi-impeachment.html …",63,293,1051,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202632626680430592,True,2019-12-06 00:55:36,This president has engaged in a series of abuse of power and obstruction of justice since he took office. He has betrayed his oath of office by putting himself above national security.,7,23,79,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202633716637421570,False,2019-12-06 00:59:56,"“If what we’re talking about is not impeachable, then nothing is impeachable. This is precisely the misconduct that the framers created the Constitution, including impeachment, to protect against. https://www.nytimes.com/2019/12/04/us/politics/trump-impeachment.html …",18,75,239,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202444538708496384,False,2019-12-05 12:28:13,"Our Diversity, Equity & Inclusion Director @JamiahAdams always speaks truth to power https://twitter.com/JamiahAdams/status/1202244029041135619 …",3,14,51,"{'hashtags': ['#TDIH'], 'urls': [], 'photos': [], 'videos': []}"
1202408296533151744,False,2019-12-05 10:04:12,Scientists have said reforestation is one of the best ways to address the climate crisis. That’s why my campaign is planting a tree in the name of every active volunteer. Join us: https://www.tomsteyer.com/plant-tree/ pic.twitter.com/MoDu8qYaE0,41,46,246,"{'hashtags': [], 'urls': ['https://www.tomsteyer.com/plant-tree/'], 'photos': [], 'videos': [{'id': 'zhSYTzkj70G1L1D1'}]}"
1202390497790021632,False,2019-12-05 08:53:28,"I stand with Sabrina Fulton, Tracy Martin & Atty. Crump in their continued fight for justice for Trayvon. #blacklivesmatte https://www.sun-sentinel.com/local/miami-dade/fl-ne-george-zimmerman-trayvon-martin-lawsuit-20191204-fdxvoqouvvbwlol2cseeaa4vum-story.html …",58,78,409,"{'hashtags': ['#blacklivesmatter'], 'urls': [], 'photos': [], 'videos': []}"
1202344507435433985,False,2019-12-05 05:50:43,Democrats need to engage voters from every part of the country—part of that is making sure voters hear from a diverse group of candidates before selecting a nominee. I am hopeful that the party will give voters an opportunity to hear from more candidates before they cast ballots.,65,72,462,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202344506596585472,False,2019-12-05 05:50:43,"I’m calling on @TheDemocrats to open up debate requirements for January so more candidates can participate. This is more important than any one campaign—it’s about finding the best person to represent our party, defeat @realDonaldTrump, and lead our country forward.",760,561,2902,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202340003352702976,False,2019-12-05 05:32:49,This is cruelty. @realDonaldTrump and the @GOP have spent years filling the pockets of the wealthy at the expense of vulnerable Americans https://twitter.com/NBCNews/status/1202297479556993024 …,158,339,817,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202305787705606144,True,2019-12-05 03:16:52,"The endless conspiracy theories and denial of facts.
The lies, hate and bullying of children who communicate and act on the science.
All because some adults - terrified of change - so desperately don't want to talk about the #ClimateCrisis
This is hope in disguise.
We're winning pic.twitter.com/fFGlCXWVqy",5550,30931,191098,"{'hashtags': ['#ClimateCrisis'], 'urls': [], 'photos': ['https://pbs.twimg.com/media/EK9xyxvWoAEdAiT.jpg'], 'videos': []}"
1202307130654699521,True,2019-12-05 03:22:12,"I first heard about term limits in my HS gov class, and it seemed like such an intuitive idea to connect the dots on Congress's inaction and the power of incumbency. @TomSteyer is talking term limits because we need our leaders to be accountable to us https://medium.com/@TeamTomIowa/the-time-for-term-limits-is-now-2acc9644f71a …",19,20,81,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202319583203352576,True,2019-12-05 04:11:41,"“I’m running for a really simple reason,” @TomSteyer said. “I’m running because I believe the government has been purchased by corporations. It doesn’t work for the people of the United States. It doesn’t even try to work for the people."" #Tom2020 #TeamTo https://pvtimes.com/news/democratic-presidential-hopeful-tom-steyer-visits-pahrump-78459/ …",11,21,63,"{'hashtags': ['#Tom2020', '#TeamTom'], 'urls': [], 'photos': [], 'videos': []}"
1202301456105136128,False,2019-12-05 02:59:39,"We need common sense gun reform. A Steyer Administration will: 

-Create a gun licensing system
-Establish national assault weapons registries
-Organize voluntary buyback programs for all firearm https://www.tomsteyer.com/we-can-end-gun-violence/ …",27,26,114,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202270102789320704,False,2019-12-05 00:55:04,"Thoughts don’t mean a damn thing without action, @realDonaldTrump https://twitter.com/CNNPolitics/status/1201894549985071104 …",55,60,388,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202052654379208705,False,2019-12-04 10:31:00,"Everyone has the right to breathe fresh air and drink clean water, free from industrial poisons. @Jaden understands that, and took action. To the city, state, and federal agencies that continue to fail the people of Flint, it’s your turn to step up https://bit.ly/2LjB5WI ",43,59,226,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202030306229751808,False,2019-12-04 09:02:12,"""The founding fathers prescribed a remedy for a chief executive who places his personal interests above those of the country: impeachment. https://www.nytimes.com/2019/12/03/us/politics/impeachment-trump-intelligence-committee.html …",74,123,567,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202009215767699456,False,2019-12-04 07:38:23,"Despite 25 years of urgent warnings and global conferences, the US Congress has still never enacted a comprehensive bill to address the climate crisis. In the next 25 years we need to transform our economy to save the world. Together, we can do it https://www.cnn.com/2019/12/02/world/cop25-explained-intl/index.html …",37,42,109,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1201989798967201794,False,2019-12-04 06:21:14,"What we do is even more important than what we say. My wife Kat and I signed the Giving Pledge nearly 10 years ago because we view giving back as a matter of morality and responsibility.  Please join us in celebrating one of the most special days of our year, #GivingTuesday https://twitter.com/GivingTuesday/status/1201644732457377793 …",27,29,120,"{'hashtags': ['#GivingTuesday', '#GivingTuesday'], 'urls': [], 'photos': [], 'videos': []}"
1201955920848113664,False,2019-12-04 04:06:37,"As a fierce advocate for equality, Sen. @KamalaHarris has been and continues to be a force in and beyond California. I’m proud to call her a friend, and I know her work on behalf of the American people is just getting started pic.twitter.com/9jfuOxoccO",332,179,1167,"{'hashtags': [], 'urls': [], 'photos': ['https://pbs.twimg.com/media/EK40gXbUYAAB6wl.jpg'], 'videos': []}"
1201928840165122051,False,2019-12-04 02:19:00,No one should need to work more than one job to survive. We can and will do better by the American people https://cbsn.ws/2RbQBI1 ,52,51,177,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1201622067797528576,True,2019-12-03 06:00:00,"We have to choose between the path of surrender - letting the climate emergency jeopardize everyone on this planet - or the path of hope, sustainable solutions & successful #ClimateAction.

My remarks at #COP25: http://bit.ly/2rPd8PW pic.twitter.com/4C5rOpUIjT",163,1051,2580,"{'hashtags': ['#ClimateAction', '#COP25'], 'urls': ['http://bit.ly/2rPd8PW'], 'photos': [], 'videos': [{'id': 'EKzXeAdXYAAA10x'}]}"
1201899214055211008,False,2019-12-04 00:21:17,"I joined this race in July because I couldn't sleep at night knowing I didn't do everything in my power to save our democracy, and I'd be remiss if I didn't stop to express my gratitude to all who helped me get here. To all my supporters and hard-working volunteers: thank you https://twitter.com/benfgerdes/status/1201891280818778114 …",94,83,464,"{'hashtags': ['#SteyerSurge'], 'urls': [], 'photos': [], 'videos': []}"
1201576945726693381,True,2019-12-03 03:00:42,"As #COP25 kicks off, CEOs of 75 companies and the @AFLCIO are calling for a healthy, thriving future for the US’ workers and its economy. Together, they’re calling on the US to stay in the #ParisAgreement. http://bit.ly/2qQGMEy pic.twitter.com/Gf3GOKVLAB",16,21,47,"{'hashtags': ['#COP25', '#ParisAgreement'], 'urls': ['http://bit.ly/2qQGMEy'], 'photos': ['https://pbs.twimg.com/media/EKzb3RYW4AIPHCR.jpg'], 'videos': []}"
